Page,EntryNo,Level,Name,Tier,Cost,Date
42,9,Level 6,Crimson Flame Gem,Tier 3,2730,2022.09.22
42,10,Level 5,Crimson Flame Gem,Tier 3,882,2022.09.22
43,1,Level 7,Annihilation Gem,Tier 3,9450,2022.09.22
43,2,Level 3,Annihilation Gem,Tier 3,21984,2022.09.22
43,3,Level 7,Annihilation Gem,Tier 3,9445,2022.09.22
43,4,Level 7,Crimson Flame Gem,Tier 3,9440,2022.09.22
43,5,Level 5,Crimson Flame Gem,Tier 3,1050,2022.09.22
43,6,Level 5,Crimson Flame Gem,Tier 3,1050,2022.09.22
43,7,Level 2,Azure Gem,Tier 2,2,2022.09.22
43,8,Level 6,Annihilation Gem,Tier 3,71010,2022.09.22
43,9,Level 6,Crimson Flame Gem,Tier 3,3199,2022.09.22
43,10,Level 7,Crimson Flame Gem,Tier 3,9200,2022.09.22
44,1,Level 7,Annihilation Gem,Tier 3,10000,2022.09.22
44,2,Level 5,Crimson Flame Gem,Tier 3,1050,2022.09.22
44,3,Level 6,Annihilation Gem,Tier 3,3200,2022.09.22
44,4,Level 3,Annihilation Gem,Tier 3,70,2022.09.22
44,5,Level 6,Farsea Gem,Tier 2,250,2022.09.22
44,6,Level 3,Annihilation Gem,Tier 3,7300,2022.09.22
44,7,Level 3,Crimson Flame Gem,Tier 3,70,2022.09.22
44,8,Level 3,Crimson Flame Gem,Tier 3,0,2022.09.22
44,9,Level 3,Crimson Flame Gem,Tier 3,70,2022.09.22
44,10,Level 7,Crimson Flame Gem,Tier 3,9450,2022.09.22
45,1,Level 5,Azure Gem,Tier 2,10,2022.09.22
45,2,Level 2,Crimson Flame Gem,Tier 3,35,2022.09.22
45,3,Level 2,Crimson Flame Gem,Tier 3,35,2022.09.22
45,4,Level 2,Annihilation Gem,Tier 3,35,2022.09.22
45,5,Level 2,Annihilation Gem,Tier 3,35,2022.09.22
45,6,Level 2,Annihilation Gem,Tier 3,35,2022.09.22
45,7,Level 2,Annihilation Gem,Tier 3,35,2022.09.22
45,8,Level 2,Annihilation Gem,Tier 3,35,2022.09.22
45,9,Level 2,Crimson Flame Gem,Tier 3,35,2022.09.22
45,10,Level 2,Crimson Flame Gem,Tier 3,35,2022.09.22
46,1,Level 2,Crimson Flame Gem,Tier 3,35,2022.09.22
46,2,Level 2,Annihilation Gem,Tier 3,35,2022.09.22
46,3,Level 2,Crimson Flame Gem,Tier 3,35,2022.09.22
46,4,Level 2,Annihilation Gem,Tier 3,35,2022.09.22
46,5,Level 2,Annihilation Gem,Tier 3,35,2022.09.22
46,6,Level 2,Annihilation Gem,Tier 3,35,2022.09.22
46,7,Level 2,Annihilation Gem,Tier 3,35,2022.09.22
46,8,Level 2,Crimson Flame Gem,Tier 3,35,2022.09.22
46,9,Level 2,Crimson Flame Gem,Tier 3,35,2022.09.22
46,10,Level 2,Annihilation Gem,Tier 3,35,2022.09.22
47,1,Level 2,Annihilation Gem,Tier 3,35,2022.09.22
47,2,Level 3,Annihilation Gem,Tier 3,2100,2022.09.22
47,3,Level 7,Annihilation Gem,Tier 3,9800,2022.09.22
47,4,Level 7,Annihilation Gem,Tier 3,9999,2022.09.22
47,5,Level 2,Annihilation Gem,Tier 3,1300,2022.09.22
47,6,Level 6,Azure Gem,Tier 2,7500,2022.09.22
47,7,Level 9,Crimson Flame Gem,Tier 3,78999,2022.09.22
47,8,Level 2,Azure Gem,Tier 2,1300,2022.09.22
47,9,Level 2,Azure Gem,Tier 2,7500,2022.09.22
47,10,Level 3,Crimson Flame Gem,Tier 3,110,2022.09.22
48,1,Level 3,Annihilation Gem,Tier 3,110,2022.09.22
48,2,Level 3,Annihilation Gem,Tier 3,3500,2022.09.22
48,3,Level 5,Crimson Flame Gem,Tier 3,999,2022.09.22
48,4,Level 4,Azure Gem,Tier 2,1400,2022.09.22
48,5,Level 3,Annihilation Gem,Tier 3,2300,2022.09.22
48,6,Level 6,Crimson Flame Gem,Tier 3,50124,2022.09.22
48,7,Level 3,Annihilation Gem,Tier 3,70,2022.09.22
48,8,Level 3,Crimson Flame Gem,Tier 3,0,2022.09.22
48,9,Level 3,Crimson Flame Gem,Tier 3,70,2022.09.22
48,10,Level 3,Annihilation Gem,Tier 3,70,2022.09.22
49,1,Level 3,Annihilation Gem,Tier 3,70,2022.09.22
49,2,Level 3,Annihilation Gem,Tier 3,70,2022.09.22
49,3,Level 3,Annihilation Gem,Tier 3,70,2022.09.22
49,4,Level 3,Annihilation Gem,Tier 3,70,2022.09.22
49,5,Level 3,Annihilation Gem,Tier 3,70,2022.09.22
49,6,Level 3,Annihilation Gem,Tier 3,70,2022.09.22
49,7,Level 3,Farsea Gem,Tier 2,20,2022.09.22
49,8,Level 3,Annihilation Gem,Tier 3,2000,2022.09.22
49,9,Level 3,Annihilation Gem,Tier 3,70,2022.09.22
49,10,Level 3,Annihilation Gem,Tier 3,70,2022.09.22
50,1,Level 3,Annihilation Gem,Tier 3,70,2022.09.22
50,2,Level 3,Annihilation Gem,Tier 3,70,2022.09.22
50,3,Level 3,Crimson Flame Gem,Tier 3,119,2022.09.22
50,4,Level 3,Crimson Flame Gem,Tier 3,70,2022.09.22
50,5,Level 3,Crimson Flame Gem,Tier 3,70,2022.09.22
50,6,Level 3,Crimson Flame Gem,Tier 3,70,2022.09.22
50,7,Level 3,Annihilation Gem,Tier 3,70,2022.09.22
50,8,Level 3,Annihilation Gem,Tier 3,70,2022.09.22
50,9,Level 3,Crimson Flame Gem,Tier 3,70,2022.09.22
50,10,Level 6,Crimson Flame Gem,Tier 3,3333,2022.09.22
51,1,Level 7,Annihilation Gem,Tier 3,10000,2022.09.22
51,2,Level 6,Crimson Flame Gem,Tier 3,3333,2022.09.22
51,3,Level 3,Crimson Flame Gem,Tier 3,1600,2022.09.22
51,4,Level 3,Crimson Flame Gem,Tier 3,90,2022.09.22
51,5,Level 3,Crimson Flame Gem,Tier 3,90,2022.09.22
51,6,Level 3,Crimson Flame Gem,Tier 3,90,2022.09.22
51,7,Level 2,Azure Gem,Tier 2,2,2022.09.22
51,8,Level 5,Farsea Gem,Tier 2,70,2022.09.22
51,9,Level 3,Crimson Flame Gem,Tier 3,90,2022.09.22
51,10,Level 3,Crimson Flame Gem,Tier 3,11002,2022.09.22
52,1,Level 3,Crimson Flame Gem,Tier 3,90,2022.09.22
52,2,Level 3,Crimson Flame Gem,Tier 3,90,2022.09.22
52,3,Level 3,Crimson Flame Gem,Tier 3,90,2022.09.22
52,4,Level 2,Azure Gem,Tier 2,1400,2022.09.22
52,5,Level 3,Crimson Flame Gem,Tier 3,90,2022.09.22
52,6,Level 3,Crimson Flame Gem,Tier 3,90,2022.09.22
52,7,Level 2,Crimson Flame Gem,Tier 3,1300,2022.09.22
52,8,Level 2,Azure Gem,Tier 2,4500,2022.09.22
52,9,Level 2,Azure Gem,Tier 2,4500,2022.09.22
52,10,Level 4,Annihilation Gem,Tier 3,2000,2022.09.22
53,1,Level 3,Crimson Flame Gem,Tier 3,90,2022.09.22
53,2,Level 3,Crimson Flame Gem,Tier 3,90,2022.09.22
53,3,Level 3,Crimson Flame Gem,Tier 3,90,2022.09.22
53,4,Level 3,Crimson Flame Gem,Tier 3,90,2022.09.22
53,5,Level 3,Crimson Flame Gem,Tier 3,90,2022.09.22
53,6,Level 2,Azure Gem,Tier 2,1600,2022.09.22
53,7,Level 4,Farsea Gem,Tier 2,200030,2022.09.22
53,8,Level 4,Crimson Flame Gem,Tier 3,325,2022.09.22
53,9,Level 4,Crimson Flame Gem,Tier 3,325,2022.09.22
53,10,Level 5,Crimson Flame Gem,Tier 3,980,2022.09.22
54,1,Level 4,Farsea Gem,Tier 2,4000,2022.09.22
54,2,Level 2,Crimson Flame Gem,Tier 3,2000,2022.09.22
54,3,Level 2,Farsea Gem,Tier 2,1400,2022.09.22
54,4,Level 5,Crimson Flame Gem,Tier 3,1050,2022.09.22
54,5,Level 5,Crimson Flame Gem,Tier 3,1050,2022.09.22
54,6,Level 5,Crimson Flame Gem,Tier 3,1050,2022.09.22
54,7,Level 5,Crimson Flame Gem,Tier 3,1050,2022.09.22
54,8,Level 5,Crimson Flame Gem,Tier 3,1050,2022.09.22
54,9,Level 5,Annihilation Gem,Tier 3,1050,2022.09.22
54,10,Level 2,FarseaGem,Tier 2,10,2022.09.22
55,1,Level 5,Crimson Flame Gem,Tier 3,1050,2022.09.22
55,2,Level 5,Crimson Flame Gem,Tier 3,1050,2022.09.22
55,3,Level 5,Annihilation Gem,Tier 3,1050,2022.09.22
55,4,Level 5,Annihilation Gem,Tier 3,1050,2022.09.22
55,5,Level 5,Crimson Flame Gem,Tier 3,1050,2022.09.22
55,6,Level 5,Annihilation Gem,Tier 3,1050,2022.09.22
55,7,Level 5,Crimson Flame Gem,Tier 3,1050,2022.09.22
55,8,Level 5,Crimson Flame Gem,Tier 3,1050,2022.09.22
55,9,Level 5,Annihilation Gem,Tier 3,1050,2022.09.22
55,10,Level 5,Annihilation Gem,Tier 3,1050,2022.09.22
56,1,Level 5,Annihilation Gem,Tier 3,1050,2022.09.22
56,2,Level 5,Annihilation Gem,Tier 3,1050,2022.09.22
56,3,Level 5,Crimson Flame Gem,Tier 3,1050,2022.09.22
56,4,Level 5,Annihilation Gem,Tier 3,1050,2022.09.22
56,5,Level 5,Annihilation Gem,Tier 3,1050,2022.09.22
56,6,Level 5,Annihilation Gem,Tier 3,1050,2022.09.22
56,7,Level 5,Crimson Flame Gem,Tier 3,1050,2022.09.22
56,8,Level 5,Annihilation Gem,Tier 3,1050,2022.09.22
56,9,Level 3,Azure Gem,Tier 2,100000,2022.09.22
56,10,Level 5,Annihilation Gem,Tier 3,1050,2022.09.22
57,1,Level 5,Crimson Flame Gem,Tier 3,1050,2022.09.22
57,2,Level 5,Annihilation Gem,Tier 3,1050,2022.09.22
57,3,Level 5,Crimson Flame Gem,Tier 3,1050,2022.09.22
57,4,Level 5,Annihilation Gem,Tier 3,1050,2022.09.22
57,5,Level 5,Crimson Flame Gem,Tier 3,1050,2022.09.22
57,6,Level 5,Annihilation Gem,Tier 3,1050,2022.09.22
57,7,Level 5,Annihilation Gem,Tier 3,1050,2022.09.22
57,8,Level 5,Annihilation Gem,Tier 3,1050,2022.09.22
57,9,Level 5,Annihilation Gem,Tier 3,1050,2022.09.22
57,10,Level 5,Annihilation Gem,Tier 3,1050,2022.09.22
58,1,Level 5,Annihilation Gem,Tier 3,1050,2022.09.22
58,2,Level 5,Annihilation Gem,Tier 3,1050,2022.09.22
58,3,Level 5,Annihilation Gem,Tier 3,1050,2022.09.22
58,4,Level 5,Annihilation Gem,Tier 3,1050,2022.09.22
58,5,Level 4,Azure Gem,Tier 2,10,2022.09.22
58,6,Level 5,Farsea Gem,Tier 2,0,2022.09.22
58,7,Level 6,Annihilation Gem,Tier 3,3100,2022.09.22
58,8,Level 4,Crimson Flame Gem,Tier 3,283,2022.09.22
58,9,Level 4,Azure Gem,Tier 2,10,2022.09.22
58,10,Level 4,Annihilation Gem,Tier 3,800,2022.09.22
59,1,Level 4,Crimson Flame Gem,Tier 3,800,2022.09.22
59,2,Level 4,Annihilation Gem,Tier 3,283,2022.09.22
59,3,Level 2,Annihilation Gem,Tier 3,30,2022.09.22
59,4,Level 5,Annihilation Gem,Tier 3,1000,2022.09.22
59,5,Level 2,Farsea Gem,Tier 2,1301,2022.09.22
59,6,Level 5,Annihilation Gem,Tier 3,999,2022.09.22
59,7,Level 2,FarseaGem,Tier 2,1301,2022.09.22
59,8,Level 5,Azure Gem,Tier 2,10,2022.09.22
59,9,Level 8,Crimson Flame Gem,Tier 3,30000,2022.09.22
59,10,Level 4,Crimson Flame Gem,Tier 3,283,2022.09.22
60,1,Level 7,Annihilation Gem,Tier 3,9500,2022.09.22
60,2,Level 7,Annihilation Gem,Tier 3,9500,2022.09.22
60,3,Level 6,Crimson Flame Gem,Tier 3,3333,2022.09.22
60,4,Level 4,Crimson Flame Gem,Tier 3,283,2022.09.22
60,5,Level 4,Crimson Flame Gem,Tier 3,355,2022.09.22
60,6,Level 6,Annihilation Gem,Tier 3,3200,2022.09.22
60,7,Level 4,Annihilation Gem,Tier 3,283,2022.09.22
60,8,Level 6,Azure Gem,Tier 2,1400,2022.09.22
60,9,Level 4,Crimson Flame Gem,Tier 3,283,2022.09.22
60,10,Level 4,Crimson Flame Gem,Tier 3,283,2022.09.22
61,1,Level 2,Annihilation Gem,Tier 3,35,2022.09.22
61,2,Level 2,Crimson Flame Gem,Tier 3,35,2022.09.22
61,3,Level 2,Annihilation Gem,Tier 3,35,2022.09.22
61,4,Level 2,Crimson Flame Gem,Tier 3,35,2022.09.22
61,5,Level 2,Crimson Flame Gem,Tier 3,35,2022.09.22
61,6,Level 2,Crimson Flame Gem,Tier 3,35,2022.09.22
61,7,Level 2,Annihilation Gem,Tier 3,35,2022.09.22
61,8,Level 2,Annihilation Gem,Tier 3,35,2022.09.22
61,9,Level 2,Crimson Flame Gem,Tier 3,35,2022.09.22
61,10,Level 2,Crimson Flame Gem,Tier 3,35,2022.09.22
62,1,Level 2,Crimson Flame Gem,Tier 3,35,2022.09.22
62,2,Level 2,Crimson Flame Gem,Tier 3,35,2022.09.22
62,3,Level 2,Annihilation Gem,Tier 3,35,2022.09.22
62,4,Level 2,Crimson Flame Gem,Tier 3,35,2022.09.22
62,5,Level 2,Annihilation Gem,Tier 3,35,2022.09.22
62,6,Level 2,Annihilation Gem,Tier 3,35,2022.09.22
62,7,Level 2,Crimson Flame Gem,Tier 3,35,2022.09.22
62,8,Level 2,Annihilation Gem,Tier 3,35,2022.09.22
62,9,Level 2,Annihilation Gem,Tier 3,35,2022.09.22
62,10,Level 2,Annihilation Gem,Tier 3,35,2022.09.22
63,1,Level 2,Crimson Flame Gem,Tier 3,35,2022.09.22
63,2,Level 2,Crimson Flame Gem,Tier 3,35,2022.09.22
63,3,Level 2,Annihilation Gem,Tier 3,35,2022.09.22
63,4,Level 2,Crimson Flame Gem,Tier 3,35,2022.09.22
63,5,Level 2,Crimson Flame Gem,Tier 3,35,2022.09.22
63,6,Level 2,Crimson Flame Gem,Tier 3,35,2022.09.22
63,7,Level 2,Crimson Flame Gem,Tier 3,35,2022.09.22
63,8,Level 6,Crimson Flame Gem,Tier 3,3000,2022.09.22
63,9,Level 6,Annihilation Gem,Tier 3,3000,2022.09.22
63,10,Level 6,Crimson Flame Gem,Tier 3,3000,2022.09.22
64,1,Level 6,Annihilation Gem,Tier 3,3000,2022.09.22
64,2,Level 6,Annihilation Gem,Tier 3,3000,2022.09.22
64,3,Level 6,Annihilation Gem,Tier 3,2999,2022.09.22
64,4,Level 6,Crimson Flame Gem,Tier 3,2999,2022.09.22
64,5,Level 6,Crimson Flame Gem,Tier 3,2999,2022.09.22
64,6,Level 5,Annihilation Gem,Tier 3,1000,2022.09.22
64,7,Level 5,Annihilation Gem,Tier 3,1000,2022.09.22
64,8,Level 5,Annihilation Gem,Tier 3,999,2022.09.22
64,9,Level 5,Annihilation Gem,Tier 3,999,2022.09.22
64,10,Level 5,Annihilation Gem,Tier 3,999,2022.09.22
65,1,Level 5,Annihilation Gem,Tier 3,999,2022.09.22
65,2,Level 2,Annihilation Gem,Tier 3,5000,2022.09.22
65,3,Level 4,Annihilation Gem,Tier 3,283,2022.09.22
65,4,Level 7,Crimson Flame Gem,Tier 3,9399,2022.09.22
65,5,Level 4,Annihilation Gem,Tier 3,283,2022.09.22
65,6,Level 4,Annihilation Gem,Tier 3,283,2022.09.22
65,7,Level 5,Farsea Gem,Tier 2,1500,2022.09.22
65,8,Level 5,Farsea Gem,Tier 2,1500,2022.09.22
65,9,Level 6,Farsea Gem,Tier 2,200,2022.09.22
65,10,Level 6,Annihilation Gem,Tier 3,3333,2022.09.22
66,1,Level 2,Annihilation Gem,Tier 3,32,2022.09.22
66,2,Level 7,Annihilation Gem,Tier 3,9400,2022.09.22
66,3,Level 4,Azure Gem,Tier 2,1400,2022.09.22
66,4,Level 6,Crimson Flame Gem,Tier 3,3000,2022.09.22
66,5,Level 2,Crimson Flame Gem,Tier 3,2000,2022.09.22
66,6,Level 5,Farsea Gem,Tier 2,58,2022.09.22
66,7,Level 7,Crimson Flame Gem,Tier 3,11000,2022.09.22
66,8,Level 6,Crimson Flame Gem,Tier 3,4000,2022.09.22
66,9,Level 6,Crimson Flame Gem,Tier 3,4000,2022.09.22
66,10,Level 4,Crimson Flame Gem,Tier 3,322,2022.09.22
67,1,Level 4,Annihilation Gem,Tier 3,283,2022.09.22
67,2,Level 4,Crimson Flame Gem,Tier 3,283,2022.09.22
67,3,Level 3,Azure Gem,Tier 2,1500,2022.09.22
67,4,Level 6,Annihilation Gem,Tier 3,2999,2022.09.22
67,5,Level 4,Crimson Flame Gem,Tier 3,350,2022.09.22
67,6,Level 4,Crimson Flame Gem,Tier 3,350,2022.09.22
67,7,Level 3,Farsea Gem,Tier 2,50004,2022.09.22
67,8,Level 6,Crimson Flame Gem,Tier 3,3333,2022.09.22
67,9,Level 6,Crimson Flame Gem,Tier 3,3000,2022.09.22
67,10,Level 6,Crimson Flame Gem,Tier 3,2950,2022.09.22
68,1,Level 4,Annihilation Gem,Tier 3,283,2022.09.22
68,2,Level 6,Annihilation Gem,Tier 3,5000,2022.09.22
68,3,Level 5,Farsea Gem,Tier 2,65,2022.09.22
68,4,Level 5,Farsea Gem,Tier 2,65,2022.09.22
68,5,Level 3,Azure Gem,Tier 2,20000,2022.09.22
68,6,Level 3,Farsea Gem,Tier 2,4500,2022.09.22
68,7,Level 4,Crimson Flame Gem,Tier 3,350,2022.09.22
68,8,Level 9,Annihilation Gem,Tier 3,119800,2022.09.22
68,9,Level 4,Crimson Flame Gem,Tier 3,350,2022.09.22
68,10,Level 4,Crimson Flame Gem,Tier 3,350,2022.09.22
69,1,Level 4,Annihilation Gem,Tier 3,333,2022.09.22
69,2,Level 4,Annihilation Gem,Tier 3,333,2022.09.22
69,3,Level 4,Annihilation Gem,Tier 3,333,2022.09.22
69,4,Level 4,Crimson Flame Gem,Tier 3,333,2022.09.22
69,5,Level 4,Annihilation Gem,Tier 3,333,2022.09.22
69,6,Level 4,Crimson Flame Gem,Tier 3,333,2022.09.22
69,7,Level 4,Crimson Flame Gem,Tier 3,333,2022.09.22
69,8,Level 4,Crimson Flame Gem,Tier 3,333,2022.09.22
69,9,Level 4,Annihilation Gem,Tier 3,333,2022.09.22
69,10,Level 4,Crimson Flame Gem,Tier 3,333,2022.09.22
70,1,Level 4,Annihilation Gem,Tier 3,333,2022.09.22
70,2,Level 4,Crimson Flame Gem,Tier 3,333,2022.09.22
70,3,Level 4,Annihilation Gem,Tier 3,333,2022.09.22
70,4,Level 4,Annihilation Gem,Tier 3,333,2022.09.22
70,5,Level 4,Crimson Flame Gem,Tier 3,320,2022.09.22
70,6,Level 6,Crimson Flame Gem,Tier 3,1900,2022.09.22
70,7,Level 4,Annihilation Gem,Tier 3,300,2022.09.22
70,8,Level 6,Annihilation Gem,Tier 3,3000,2022.09.22
70,9,Level 7,Crimson Flame Gem,Tier 3,9500,2022.09.22
70,10,Level 2,Crimson Flame Gem,Tier 3,18,2022.09.22
71,1,Level 2,Annihilation Gem,Tier 3,18,2022.09.22
71,2,Level 4,Annihilation Gem,Tier 3,9,2022.09.22
71,3,Level 2,Azure Gem,Tier 2,1400,2022.09.22
71,4,Level 4,Farsea Gem,Tier 2,1300,2022.09.22
71,5,Level 2,Crimson Flame Gem,Tier 3,1300,2022.09.22
71,6,Level 6,Annihilation Gem,Tier 3,3333,2022.09.22
71,7,Level 4,Farsea Gem,Tier 2,20,2022.09.22
71,8,Level 6,Annihilation Gem,Tier 3,3333,2022.09.22
71,9,Level 2,Azure Gem,Tier 2,1500,2022.09.22
71,10,Level 2,Crimson Flame Gem,Tier 3,400,2022.09.22
72,1,Level 7,Annihilation Gem,Tier 3,9400,2022.09.22
72,2,Level 2,Crimson Flame Gem,Tier 3,400,2022.09.22
72,3,Level 2,Annihilation Gem,Tier 3,8000,2022.09.22
72,4,Level 4,Annihilation Gem,Tier 3,310,2022.09.22
72,5,Level 4,Crimson Flame Gem,Tier 3,300,2022.09.22
72,6,Level 6,Crimson Flame Gem,Tier 3,3000,2022.09.22
72,7,Level 2,Annihilation Gem,Tier 3,8000,2022.09.22
72,8,Level 6,Crimson Flame Gem,Tier 3,2950,2022.09.22
72,9,Level 4,Annihilation Gem,Tier 3,350,2022.09.22
72,10,Level 4,Farsea Gem,Tier 2,158021,2022.09.22
73,1,Level 2,Annihilation Gem,Tier 3,1400,2022.09.22
73,2,Level 2,Crimson Flame Gem,Tier 3,4500,2022.09.22
73,3,Level 2,Crimson Flame Gem,Tier 3,1300,2022.09.22
73,4,Level 4,Farsea Gem,Tier 2,1300,2022.09.22
73,5,Level 4,Crimson Flame Gem,Tier 3,288,2022.09.22
73,6,Level 2,Annihilation Gem,Tier 3,1300,2022.09.22
73,7,Level 6,Annihilation Gem,Tier 3,2777,2022.09.22
73,8,Level 4,Crimson Flame Gem,Tier 3,-,2022.09.22
73,9,Level 4,Annihilation Gem,Tier 3,300,2022.09.22
73,10,Level 4,Farsea Gem,Tier 2,55,2022.09.22
74,1,Level 6,Crimson Flame Gem,Tier 3,3333,2022.09.22
74,2,Level 4,Crimson Flame Gem,Tier 3,330,2022.09.22
74,3,Level 6,Annihilation Gem,Tier 3,2900,2022.09.22
74,4,Level 4,Crimson Flame Gem,Tier 3,300,2022.09.22
74,5,Level 7,Crimson Flame Gem,Tier 3,9499,2022.09.22
74,6,Level 6,Annihilation Gem,Tier 3,3000,2022.09.22
74,7,Level 6,Crimson Flame Gem,Tier 3,2999,2022.09.22
74,8,Level 6,Crimson Flame Gem,Tier 3,2999,2022.09.22
74,9,Level 6,Annihilation Gem,Tier 3,2999,2022.09.22
74,10,Level 6,Annihilation Gem,Tier 3,2999,2022.09.22
75,1,Level 6,Annihilation Gem,Tier 3,2999,2022.09.22
75,2,Level 6,Annihilation Gem,Tier 3,2999,2022.09.22
75,3,Level 6,Annihilation Gem,Tier 3,2999,2022.09.22
75,4,Level 6,Annihilation Gem,Tier 3,2950,2022.09.22
75,5,Level 6,Crimson Flame Gem,Tier 3,2777,2022.09.22
75,6,Level 4,Annihilation Gem,Tier 3,288,2022.09.22
75,7,Level 4,Azure Gem,Tier 2,4500,2022.09.22
75,8,Level 3,Azure Gem,Tier 2,1500,2022.09.22
75,9,Level 4,Annihilation Gem,Tier 3,310,2022.09.22
75,10,Level 6,Annihilation Gem,Tier 3,2777,2022.09.22
76,1,Level 6,Annihilation Gem,Tier 3,2598,2022.09.22
76,2,Level 6,Crimson Flame Gem,Tier 3,2598,2022.09.22
76,3,Level 2,Farsea Gem,Tier 2,1300,2022.09.22
76,4,Level 6,Crimson Flame Gem,Tier 3,2598,2022.09.22
76,5,Level 6,Annihilation Gem,Tier 3,2598,2022.09.22
76,6,Level 4,Annihilation Gem,Tier 3,288,2022.09.22
76,7,Level 4,Crimson Flame Gem,Tier 3,259,2022.09.22
76,8,Level 4,Crimson Flame Gem,Tier 3,259,2022.09.22
76,9,Level 4,Crimson Flame Gem,Tier 3,259,2022.09.22
76,10,Level 4,Crimson Flame Gem,Tier 3,259,2022.09.22
77,1,Level 2,FarseaGem,Tier 2,1300,2022.09.22
77,2,Level 2,FarseaGem,Tier 2,0,2022.09.22
77,3,Level 2,Farsea Gem,Tier 2,20,2022.09.22
77,4,Level 2,Farsea Gem,Tier 2,10,2022.09.22
77,5,Level 2,Crimson Flame Gem,Tier 3,150,2022.09.22
77,6,Level 6,Crimson Flame Gem,Tier 3,3333,2022.09.22
77,7,Level 4,Annihilation Gem,Tier 3,300,2022.09.22
77,8,Level 6,Annihilation Gem,Tier 3,3333,2022.09.22
77,9,Level 6,Crimson Flame Gem,Tier 3,3000,2022.09.22
77,10,Level 2,Annihilation Gem,Tier 3,34,2022.09.22
78,1,Level 2,Crimson Flame Gem,Tier 3,34,2022.09.22
78,2,Level 2,Crimson Flame Gem,Tier 3,34,2022.09.22
78,3,Level 2,Annihilation Gem,Tier 3,30,2022.09.22
78,4,Level 3,Azure Gem,Tier 2,1400,2022.09.22
78,5,Level 4,Crimson Flame Gem,Tier 3,300,2022.09.22
78,6,Level 4,Crimson Flame Gem,Tier 3,500,2022.09.22
78,7,Level 6,Annihilation Gem,Tier 3,3296,2022.09.22
78,8,Level 6,Crimson Flame Gem,Tier 3,3199,2022.09.22
78,9,Level 6,Annihilation Gem,Tier 3,2666,2022.09.22
78,10,Level 4,Crimson Flame Gem,Tier 3,288,2022.09.22
79,1,Level 5,Azure Gem,Tier 2,1400,2022.09.22
79,2,Level 4,Farsea Gem,Tier 2,1400,2022.09.22
79,3,Level 5,Azure Gem,Tier 2,1400,2022.09.22
79,4,Level 5,Farsea Gem,Tier 2,1400,2022.09.22
79,5,Level 4,Azure Gem,Tier 2,1400,2022.09.22
79,6,Level 2,Annihilation Gem,Tier 3,8000,2022.09.22
79,7,Level 4,Annihilation Gem,Tier 3,350,2022.09.22
79,8,Level 8,Annihilation Gem,Tier 3,27000,2022.09.22
79,9,Level 4,Crimson Flame Gem,Tier 3,350,2022.09.22
79,10,Level 2,Annihilation Gem,Tier 3,31,2022.09.22
80,1,Level 2,Crimson Flame Gem,Tier 3,31,2022.09.22
80,2,Level 4,Crimson Flame Gem,Tier 3,300,2022.09.22
80,3,Level 6,Annihilation Gem,Tier 3,2620,2022.09.22
80,4,Level 4,Annihilation Gem,Tier 3,283,2022.09.22
80,5,Level 2,Azure Gem,Tier 2,1300,2022.09.22
80,6,Level 2,FarseaGem,Tier 2,1300,2022.09.22
80,7,Level 5,Farsea Gem,Tier 2,70,2022.09.22
80,8,Level 5,Azure Gem,Tier 2,70,2022.09.22
80,9,Level 7,Crimson Flame Gem,Tier 3,9500,2022.09.22
80,10,Level 4,Crimson Flame Gem,Tier 3,310,2022.09.22
81,1,Level 4,Annihilation Gem,Tier 3,288,2022.09.22
81,2,Level 6,Annihilation Gem,Tier 3,2666,2022.09.22
81,3,Level 6,Crimson Flame Gem,Tier 3,2950,2022.09.22
81,4,Level 7,Annihilation Gem,Tier 3,9490,2022.09.22
81,5,Level 6,Crimson Flame Gem,Tier 3,3000,2022.09.22
81,6,Level 6,Farsea Gem,Tier 2,94089,2022.09.22
81,7,Level 4,Crimson Flame Gem,Tier 3,300,2022.09.22
81,8,Level 3,Azure Gem,Tier 2,19021,2022.09.22
81,9,Level 4,Crimson Flame Gem,Tier 3,320,2022.09.22
81,10,Level 7,Crimson Flame Gem,Tier 3,9599,2022.09.22
82,1,Level 2,Annihilation Gem,Tier 3,3386,2022.09.22
82,2,Level 4,Annihilation Gem,Tier 3,300,2022.09.22
82,3,Level 7,FarseaGem,Tier 2,150,2022.09.22
82,4,Level 6,Crimson Flame Gem,Tier 3,3000,2022.09.22
82,5,Level 7,Annihilation Gem,Tier 3,7656,2022.09.22
82,6,Level 6,Annihilation Gem,Tier 3,3333,2022.09.22
82,7,Level 7,Crimson Flame Gem,Tier 3,9400,2022.09.22
82,8,Level 2,Annihilation Gem,Tier 3,50127,2022.09.22
82,9,Level 7,Crimson Flame Gem,Tier 3,9999,2022.09.22
82,10,Level 7,Annihilation Gem,Tier 3,9900,2022.09.22
83,1,Level 2,Crimson Flame Gem,Tier 3,-,2022.09.22
83,2,Level 2,Annihilation Gem,Tier 3,34,2022.09.22
83,3,Level 2,Crimson Flame Gem,Tier 3,1500,2022.09.22
83,4,Level 6,Crimson Flame Gem,Tier 3,2950,2022.09.22
83,5,Level 4,Crimson Flame Gem,Tier 3,288,2022.09.22
83,6,Level 2,Farsea Gem,Tier 2,1500,2022.09.22
83,7,Level 3,Azure Gem,Tier 2,15200,2022.09.22
